Tick,Healthy,Sick,Recovered
560,1062,428,10
561,1061,429,10
562,1061,429,10
563,1061,429,10
564,1060,430,10
565,1057,433,10
566,1057,433,10
567,1057,433,10
568,1056,434,10
569,1056,434,10
570,1055,434,11
571,1055,434,11
572,1055,434,11
573,1052,436,12
574,1051,436,13
575,1049,437,14
576,1047,439,14
577,1046,440,14
578,1046,440,14
579,1044,442,14
580,1042,444,14
581,1041,444,15
582,1040,445,15
583,1040,444,16
584,1037,447,16
585,1037,446,17
586,1037,445,18
587,1037,445,18
588,1037,445,18
589,1036,446,18
590,1034,448,18
591,1034,447,19
592,1033,448,19
593,1032,448,20
594,1031,448,21
595,1030,448,22
596,1029,449,22
597,1027,449,24
598,1027,449,24
599,1026,450,24
600,1025,451,24
601,1023,453,24
602,1023,452,25
603,1021,452,27
604,1020,453,27
605,1019,454,27
606,1019,454,27
607,1018,455,27
608,1015,458,27
609,1015,457,28
610,1014,457,29
611,1011,459,30
612,1011,459,30
613,1010,460,30
614,1010,459,31
615,1008,460,32
616,1005,463,32
617,1004,464,32
618,1002,466,32
619,1002,465,33
620,1001,466,33
621,998,469,33
622,998,469,33
623,998,468,34
624,997,469,34
625,997,469,34
626,997,469,34
627,995,469,36
628,995,469,36
629,993,471,36
630,988,476,36
631,985,478,37
632,985,478,37
633,985,477,38
634,985,477,38
635,985,476,39
636,985,475,40
637,983,476,41
638,983,476,41
639,980,479,41
640,979,479,42
641,978,480,42
642,976,481,43
643,974,481,45
644,973,482,45
645,971,484,45
646,969,486,45
647,969,486,45
648,965,490,45
649,963,492,45
650,961,493,46
651,959,495,46
652,956,498,46
653,956,498,46
654,956,498,46
655,952,502,46
656,950,504,46
657,949,504,47
658,949,502,49
659,946,503,51
660,943,505,52
661,943,505,52
662,943,504,53
663,941,506,53
664,940,505,55
665,940,503,57
666,938,505,57
667,937,506,57
668,937,506,57
669,935,507,58
670,935,507,58
671,935,507,58
672,933,509,58
673,930,512,58
674,926,515,59
675,925,515,60
676,921,519,60
677,917,523,60
678,917,523,60
679,913,526,61
680,910,528,62
681,910,528,62
682,908,530,62
683,907,530,63
684,905,532,63
685,905,531,64
686,904,530,66
687,904,530,66
688,901,533,66
689,901,530,69
690,901,528,71
691,899,528,73
692,898,529,73
693,895,531,74
694,892,534,74
695,890,536,74
696,890,535,75
697,890,535,75
698,886,539,75
699,884,540,76
700,879,543,78
701,878,544,78
702,875,546,79
703,873,547,80
704,871,549,80
705,871,549,80
706,870,549,81
707,868,551,81
708,866,553,81
709,866,551,83
710,866,551,83
711,865,552,83
712,863,554,83
713,860,556,84
714,858,556,86
715,857,555,88
716,856,556,88
717,855,556,89
718,854,556,90
719,853,557,90
720,852,558,90
721,852,558,90
722,850,560,90
723,847,562,91
724,845,563,92
725,841,567,92
726,841,567,92
727,838,570,92
728,836,571,93
729,833,574,93
730,831,575,94
731,830,575,95
732,829,575,96
733,827,576,97
734,824,578,98
735,820,581,99
